userId,moviename1,moviename2,moviename3,moviename4,moviename5,moviename6,moviename7,moviename8,moviename9,moviename10,moviename11,moviename12,moviename13,moviename14,moviename15,moviename16,moviename17,moviename18,moviename19,moviename20
148,"Matrix, The (1999)","Shawshank Redemption, The (1994)",Fight Club (1999),Star Wars: Episode IV - A New Hope (1977),"Dark Knight, The (2008)",Pulp Fiction (1994),Shrek (2001),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Star Wars: Episode V - The Empire Strikes Back (1980),"Incredibles, The (2004)","Silence of the Lambs, The (1991)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Schindler's List (1993),Star Wars: Episode VI - Return of the Jedi (1983),Memento (2000),Gladiator (2000),Toy Story (1995),Saving Private Ryan (1998),Iron Man (2008),Eternal Sunshine of the Spotless Mind (2004)
149,Forrest Gump (1994),"Matrix, The (1999)",Pulp Fiction (1994),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Toy Story (1995),Saving Private Ryan (1998),"Godfather, The (1972)","Fugitive, The (1993)","Usual Suspects, The (1995)",American Beauty (1999),Seven (a.k.a. Se7en) (1995),Fargo (1996),Indiana Jones and the Last Crusade (1989),Schindler's List (1993),Apollo 13 (1995),Fight Club (1999),Batman (1989)
150,Star Wars: Episode IV - A New Hope (1977),Toy Story (1995),Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Forrest Gump (1994),"Silence of the Lambs, The (1991)",Braveheart (1995),Twister (1996),Jurassic Park (1993),Terminator 2: Judgment Day (1991),"Fugitive, The (1993)",Star Wars: Episode VI - Return of the Jedi (1983),Apollo 13 (1995),"Usual Suspects, The (1995)",Seven (a.k.a. Se7en) (1995),Schindler's List (1993),Batman (1989),Star Wars: Episode V - The Empire Strikes Back (1980),True Lies (1994),Speed (1994)
151,Star Wars: Episode IV - A New Hope (1977),Forrest Gump (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Rock, The (1996)",Jurassic Park (1993),Star Wars: Episode VI - Return of the Jedi (1983),Braveheart (1995),"Silence of the Lambs, The (1991)",Terminator 2: Judgment Day (1991),Apollo 13 (1995),Fargo (1996),"Fugitive, The (1993)",Star Trek: First Contact (1996),Aladdin (1992),"Lion King, The (1994)",Star Wars: Episode V - The Empire Strikes Back (1980),Seven (a.k.a. Se7en) (1995),True Lies (1994)
152,Forrest Gump (1994),Star Wars: Episode V - The Empire Strikes Back (1980),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Braveheart (1995),"Lord of the Rings: The Return of the King, The (2003)",Saving Private Ryan (1998),"Lord of the Rings: The Two Towers, The (2002)",Terminator 2: Judgment Day (1991),Memento (2000),"Sixth Sense, The (1999)",Star Wars: Episode VI - Return of the Jedi (1983),Jurassic Park (1993),Reservoir Dogs (1992),Toy Story (1995),Gladiator (2000),Back to the Future (1985),Good Will Hunting (1997),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Apollo 13 (1995),"Fugitive, The (1993)"
153,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Star Wars: Episode IV - A New Hope (1977),"Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)","Usual Suspects, The (1995)",Seven (a.k.a. Se7en) (1995),Saving Private Ryan (1998),"Sixth Sense, The (1999)",Braveheart (1995),"Dark Knight, The (2008)",Jurassic Park (1993),Fargo (1996),Star Wars: Episode VI - Return of the Jedi (1983),Inception (2010),Gladiator (2000),Terminator 2: Judgment Day (1991),Kill Bill: Vol. 1 (2003),Pirates of the Caribbean: The Curse of the Black Pearl (2003)
154,"Shawshank Redemption, The (1994)","Matrix, The (1999)","Lord of the Rings: The Return of the King, The (2003)","Dark Knight, The (2008)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Fight Club (1999),Star Wars: Episode IV - A New Hope (1977),"Lord of the Rings: The Two Towers, The (2002)",Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Star Wars: Episode V - The Empire Strikes Back (1980),WALL¡¤E (2008),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Star Wars: Episode VI - Return of the Jedi (1983),Schindler's List (1993),Shrek (2001),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Gladiator (2000),Finding Nemo (2003),Saving Private Ryan (1998)
155,Forrest Gump (1994),"Matrix, The (1999)","Shawshank Redemption, The (1994)",Pulp Fiction (1994),Star Wars: Episode V - The Empire Strikes Back (1980),"Silence of the Lambs, The (1991)",Star Wars: Episode VI - Return of the Jedi (1983),Braveheart (1995),Terminator 2: Judgment Day (1991),Jurassic Park (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),American Beauty (1999),"Sixth Sense, The (1999)",Schindler's List (1993),"Godfather, The (1972)","Lord of the Rings: The Fellowship of the Ring, The (2001)","Usual Suspects, The (1995)",Seven (a.k.a. Se7en) (1995),Back to the Future (1985),"Lord of the Rings: The Return of the King, The (2003)"
156,Star Wars: Episode V - The Empire Strikes Back (1980),Schindler's List (1993),Braveheart (1995),Fight Club (1999),Terminator 2: Judgment Day (1991),Star Wars: Episode VI - Return of the Jedi (1983),Saving Private Ryan (1998),"Sixth Sense, The (1999)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Princess Bride, The (1987)","Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Two Towers, The (2002)",Alien (1979),"Lord of the Rings: The Return of the King, The (2003)",Batman (1989),Independence Day (a.k.a. ID4) (1996),Aladdin (1992),Shrek (2001),"Lion King, The (1994)",Die Hard (1988)
157,"Shawshank Redemption, The (1994)",Forrest Gump (1994),"Matrix, The (1999)",Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),American Beauty (1999),"Godfather, The (1972)",Star Wars: Episode V - The Empire Strikes Back (1980),"Usual Suspects, The (1995)",Saving Private Ryan (1998),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Sixth Sense, The (1999)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Star Wars: Episode VI - Return of the Jedi (1983),Braveheart (1995),Seven (a.k.a. Se7en) (1995),"Lord of the Rings: The Return of the King, The (2003)",Jurassic Park (1993),Terminator 2: Judgment Day (1991)
158,American Beauty (1999),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Forrest Gump (1994),Star Wars: Episode V - The Empire Strikes Back (1980),Pulp Fiction (1994),Fight Club (1999),Alien (1979),Back to the Future (1985),"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Princess Bride, The (1987)",Star Wars: Episode VI - Return of the Jedi (1983),"Godfather, The (1972)",Saving Private Ryan (1998),Seven (a.k.a. Se7en) (1995),Braveheart (1995),"Usual Suspects, The (1995)"
159,"Silence of the Lambs, The (1991)","Matrix, The (1999)",Schindler's List (1993),Star Wars: Episode IV - A New Hope (1977),Terminator 2: Judgment Day (1991),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)",Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)","Lord of the Rings: The Two Towers, The (2002)",Star Wars: Episode V - The Empire Strikes Back (1980),Saving Private Ryan (1998),"Lion King, The (1994)",Aladdin (1992),"Fugitive, The (1993)",Star Wars: Episode VI - Return of the Jedi (1983),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Sixth Sense, The (1999)","Godfather, The (1972)",Back to the Future (1985)
160,"Shawshank Redemption, The (1994)",Aladdin (1992),True Lies (1994),"Princess Bride, The (1987)",Memento (2000),Dances with Wolves (1990),Reservoir Dogs (1992),Monty Python and the Holy Grail (1975),Good Will Hunting (1997),One Flew Over the Cuckoo's Nest (1975),"Clockwork Orange, A (1971)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Dark Knight, The (2008)",Finding Nemo (2003),"Truman Show, The (1998)",Kill Bill: Vol. 1 (2003),Eternal Sunshine of the Spotless Mind (2004),Mrs. Doubtfire (1993),Ace Ventura: Pet Detective (1994),"Monsters, Inc. (2001)"
161,Forrest Gump (1994),Pulp Fiction (1994),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),Schindler's List (1993),Jurassic Park (1993),Apollo 13 (1995),"Usual Suspects, The (1995)",Terminator 2: Judgment Day (1991),Star Wars: Episode V - The Empire Strikes Back (1980),Aladdin (1992),Fight Club (1999),"Lion King, The (1994)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Star Wars: Episode VI - Return of the Jedi (1983),"Fugitive, The (1993)",Seven (a.k.a. Se7en) (1995),"Lord of the Rings: The Fellowship of the Ring, The (2001)"
162,"Silence of the Lambs, The (1991)",Braveheart (1995),"Fugitive, The (1993)",Jurassic Park (1993),Terminator 2: Judgment Day (1991),Seven (a.k.a. Se7en) (1995),True Lies (1994),Aladdin (1992),"Lion King, The (1994)",Toy Story (1995),Speed (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Die Hard: With a Vengeance (1995),Independence Day (a.k.a. ID4) (1996),Clear and Present Danger (1994),Beauty and the Beast (1991),Crimson Tide (1995),"Firm, The (1993)"
163,"Matrix, The (1999)",Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Saving Private Ryan (1998),Fight Club (1999),American Beauty (1999),Star Wars: Episode V - The Empire Strikes Back (1980),"Sixth Sense, The (1999)",Star Wars: Episode VI - Return of the Jedi (1983),"Godfather, The (1972)","Usual Suspects, The (1995)",Schindler's List (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Men in Black (a.k.a. MIB) (1997),Gladiator (2000),Braveheart (1995),Terminator 2: Judgment Day (1991)
164,"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Forrest Gump (1994),Pulp Fiction (1994),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Saving Private Ryan (1998),Back to the Future (1985),"Fugitive, The (1993)",Toy Story (1995),"Godfather, The (1972)",Seven (a.k.a. Se7en) (1995),Schindler's List (1993),Fight Club (1999),Apollo 13 (1995),"Usual Suspects, The (1995)",American Beauty (1999),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Alien (1979),Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
165,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),Star Wars: Episode IV - A New Hope (1977),"Silence of the Lambs, The (1991)",Terminator 2: Judgment Day (1991),Fight Club (1999),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Schindler's List (1993),"Lord of the Rings: The Return of the King, The (2003)",American Beauty (1999),"Usual Suspects, The (1995)",Seven (a.k.a. Se7en) (1995),Gladiator (2000),Back to the Future (1985),"Sixth Sense, The (1999)",Toy Story (1995),"Fugitive, The (1993)",Shrek (2001),Fargo (1996)
166,Braveheart (1995),Terminator 2: Judgment Day (1991),Jurassic Park (1993),Back to the Future (1985),"Dark Knight, The (2008)",Apollo 13 (1995),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Independence Day (a.k.a. ID4) (1996),Monty Python and the Holy Grail (1975),"Lion King, The (1994)",Inception (2010),Goodfellas (1990),"Beautiful Mind, A (2001)",Blade Runner (1982),Aliens (1986),Dances with Wolves (1990),True Lies (1994),"Fifth Element, The (1997)","Big Lebowski, The (1998)","Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
167,"Matrix, The (1999)",Fight Club (1999),Terminator 2: Judgment Day (1991),Schindler's List (1993),"Usual Suspects, The (1995)",Seven (a.k.a. Se7en) (1995),"Godfather, The (1972)",Back to the Future (1985),Gladiator (2000),Memento (2000),"Fugitive, The (1993)","Lion King, The (1994)",Independence Day (a.k.a. ID4) (1996),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Dark Knight, The (2008)",Die Hard (1988),Good Will Hunting (1997),"Terminator, The (1984)",Kill Bill: Vol. 1 (2003),Reservoir Dogs (1992)
168,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)","Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Fight Club (1999),"Usual Suspects, The (1995)",Schindler's List (1993),Star Wars: Episode V - The Empire Strikes Back (1980),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Seven (a.k.a. Se7en) (1995),Saving Private Ryan (1998),"Sixth Sense, The (1999)",Braveheart (1995),Star Wars: Episode VI - Return of the Jedi (1983),Terminator 2: Judgment Day (1991),Monty Python and the Holy Grail (1975),Jurassic Park (1993),Memento (2000),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Blade Runner (1982)
169,Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),Fight Club (1999),Star Wars: Episode V - The Empire Strikes Back (1980),Terminator 2: Judgment Day (1991),Star Wars: Episode VI - Return of the Jedi (1983),Seven (a.k.a. Se7en) (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Usual Suspects, The (1995)",American Beauty (1999),Independence Day (a.k.a. ID4) (1996),"Godfather, The (1972)",Gladiator (2000),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Batman (1989),Memento (2000),True Lies (1994),Dances with Wolves (1990)
170,Terminator 2: Judgment Day (1991),True Lies (1994),Schindler's List (1993),Seven (a.k.a. Se7en) (1995),Die Hard: With a Vengeance (1995),Clear and Present Danger (1994),Toy Story (1995),"Usual Suspects, The (1995)",Stargate (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Mask, The (1994)",Independence Day (a.k.a. ID4) (1996),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Mission: Impossible (1996),Interview with the Vampire: The Vampire Chronicles (1994),Cliffhanger (1993),Star Trek: Generations (1994),Dumb & Dumber (Dumb and Dumber) (1994),Star Wars: Episode V - The Empire Strikes Back (1980)
171,Forrest Gump (1994),"Matrix, The (1999)",Braveheart (1995),Terminator 2: Judgment Day (1991),"Usual Suspects, The (1995)",Jurassic Park (1993),Schindler's List (1993),Fight Club (1999),"Fugitive, The (1993)",Apollo 13 (1995),American Beauty (1999),Saving Private Ryan (1998),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Aladdin (1992),Dances with Wolves (1990),"Sixth Sense, The (1999)","Lord of the Rings: The Return of the King, The (2003)","Lion King, The (1994)",Speed (1994),"Lord of the Rings: The Two Towers, The (2002)"
172,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode V - The Empire Strikes Back (1980),Braveheart (1995),Terminator 2: Judgment Day (1991),Fight Club (1999),Jurassic Park (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Saving Private Ryan (1998),"Usual Suspects, The (1995)",American Beauty (1999),"Godfather, The (1972)",Seven (a.k.a. Se7en) (1995),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Toy Story (1995),Apollo 13 (1995),"Fugitive, The (1993)"
173,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)","Fugitive, The (1993)",Dances with Wolves (1990),True Lies (1994),"Lion King, The (1994)",Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)",Die Hard: With a Vengeance (1995),Toy Story (1995),"Matrix, The (1999)",Clear and Present Danger (1994),Star Wars: Episode IV - A New Hope (1977),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Independence Day (a.k.a. ID4) (1996),Crimson Tide (1995),"Mask, The (1994)",Ace Ventura: Pet Detective (1994),Babe (1995),"Firm, The (1993)"
174,"Shawshank Redemption, The (1994)",Braveheart (1995),"Silence of the Lambs, The (1991)","Lion King, The (1994)",Speed (1994),Seven (a.k.a. Se7en) (1995),Toy Story (1995),"Mask, The (1994)",Mrs. Doubtfire (1993),Cliffhanger (1993),Star Wars: Episode IV - A New Hope (1977),Waterworld (1995),"Matrix, The (1999)",Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983),Four Weddings and a Funeral (1994),Get Shorty (1995),Fargo (1996),Jumanji (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
175,Legally Blonde (2001),"Notebook, The (2004)","Walk to Remember, A (2002)",How to Lose a Guy in 10 Days (2003),Sweet Home Alabama (2002),13 Going on 30 (2004),Dirty Dancing (1987),"Wedding Date, The (2005)",Sixteen Candles (1984),Pride & Prejudice (2005),Maid in Manhattan (2002),"Ugly Truth, The (2009)",Chicago (2002),"Holiday, The (2006)","Princess Diaries, The (2001)",Freaky Friday (2003),Under the Tuscan Sun (2003),Bring It On (2000),Hairspray (2007),Uptown Girls (2003)
176,Forrest Gump (1994),Jurassic Park (1993),Schindler's List (1993),"Lion King, The (1994)","Usual Suspects, The (1995)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Toy Story (1995),Beauty and the Beast (1991),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)","Mask, The (1994)",Mission: Impossible (1996),Interview with the Vampire: The Vampire Chronicles (1994),Babe (1995),Mrs. Doubtfire (1993),"Net, The (1995)",Star Wars: Episode V - The Empire Strikes Back (1980),While You Were Sleeping (1995),Star Wars: Episode VI - Return of the Jedi (1983),Pretty Woman (1990)
177,Braveheart (1995),Terminator 2: Judgment Day (1991),Saving Private Ryan (1998),"Sixth Sense, The (1999)",Gladiator (2000),Memento (2000),"Fugitive, The (1993)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),American History X (1998),"Amelie (Fabuleux destin d'Am¨¦lie Poulain, Le) (2001)","Terminator, The (1984)",Dances with Wolves (1990),L¨¦on: The Professional (a.k.a. The Professional) (L¨¦on) (1994),"Green Mile, The (1999)",Blade Runner (1982),WALL¡¤E (2008),Donnie Darko (2001),Aliens (1986),Babe (1995),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
178,Star Wars: Episode IV - A New Hope (1977),Apollo 13 (1995),Star Wars: Episode V - The Empire Strikes Back (1980),"Godfather, The (1972)",Star Wars: Episode VI - Return of the Jedi (1983),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Sixth Sense, The (1999)","Lion King, The (1994)",Aladdin (1992),Batman (1989),Gladiator (2000),Shrek (2001),"Dark Knight, The (2008)",Indiana Jones and the Last Crusade (1989),Reservoir Dogs (1992),L¨¦on: The Professional (a.k.a. The Professional) (L¨¦on) (1994),Mission: Impossible (1996),Die Hard: With a Vengeance (1995),Inception (2010),Good Will Hunting (1997)
179,Aladdin (1992),Schindler's List (1993),"Usual Suspects, The (1995)",Star Wars: Episode IV - A New Hope (1977),Beauty and the Beast (1991),"Matrix, The (1999)",GoldenEye (1995),Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode V - The Empire Strikes Back (1980),Pretty Woman (1990),Ghost (1990),Sleepless in Seattle (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Saving Private Ryan (1998),Fight Club (1999),"Godfather, The (1972)","Rock, The (1996)",American Beauty (1999),Back to the Future (1985),Heat (1995)
180,"Shawshank Redemption, The (1994)",Pulp Fiction (1994),Forrest Gump (1994),"Silence of the Lambs, The (1991)",Star Wars: Episode VI - Return of the Jedi (1983),"Lord of the Rings: The Return of the King, The (2003)","Godfather, The (1972)",Saving Private Ryan (1998),"Lord of the Rings: The Two Towers, The (2002)",American Beauty (1999),Terminator 2: Judgment Day (1991),"Usual Suspects, The (1995)",Schindler's List (1993),"Sixth Sense, The (1999)",Braveheart (1995),Fargo (1996),Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Gladiator (2000),Seven (a.k.a. Se7en) (1995)
181,"Shawshank Redemption, The (1994)",Apollo 13 (1995),Terminator 2: Judgment Day (1991),"Lion King, The (1994)",Schindler's List (1993),"Usual Suspects, The (1995)",Toy Story (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Batman Forever (1995),Independence Day (a.k.a. ID4) (1996),Outbreak (1995),Mission: Impossible (1996),Interview with the Vampire: The Vampire Chronicles (1994),Cliffhanger (1993),Star Trek: Generations (1994),Star Wars: Episode IV - A New Hope (1977),Dumb & Dumber (Dumb and Dumber) (1994),Waterworld (1995),"Matrix, The (1999)",Fargo (1996)
182,Aladdin (1992),"Lion King, The (1994)",Finding Nemo (2003),Ghostbusters (a.k.a. Ghost Busters) (1984),"Dark Knight, The (2008)","Incredibles, The (2004)",Catch Me If You Can (2002),"Mask, The (1994)",Beauty and the Beast (1991),Titanic (1997),"Departed, The (2006)",Inception (2010),Mrs. Doubtfire (1993),Babe (1995),Ace Ventura: Pet Detective (1994),Jaws (1975),Stand by Me (1986),Who Framed Roger Rabbit? (1988),Big (1988),When Harry Met Sally... (1989)
183,Forrest Gump (1994),Pulp Fiction (1994),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)","Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Schindler's List (1993),Apollo 13 (1995),Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)",Independence Day (a.k.a. ID4) (1996),Toy Story (1995),Indiana Jones and the Last Crusade (1989),Back to the Future (1985),Fargo (1996),American Beauty (1999),"Terminator, The (1984)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Fight Club (1999)
184,"Matrix, The (1999)","Lord of the Rings: The Return of the King, The (2003)",Fight Club (1999),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Shawshank Redemption, The (1994)","Lord of the Rings: The Two Towers, The (2002)",Forrest Gump (1994),Up (2009),WALL¡¤E (2008),Star Wars: Episode IV - A New Hope (1977),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Gladiator (2000),Inglourious Basterds (2009),"Incredibles, The (2004)",Kill Bill: Vol. 1 (2003),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Avatar (2009),"Departed, The (2006)",Pulp Fiction (1994),Finding Nemo (2003)
185,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Matrix, The (1999)","Silence of the Lambs, The (1991)",Fight Club (1999),Star Wars: Episode IV - A New Hope (1977),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Star Wars: Episode V - The Empire Strikes Back (1980),Jurassic Park (1993),Braveheart (1995),American Beauty (1999),Schindler's List (1993),"Lord of the Rings: The Return of the King, The (2003)","Usual Suspects, The (1995)",Shrek (2001),Star Wars: Episode VI - Return of the Jedi (1983),Seven (a.k.a. Se7en) (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Terminator 2: Judgment Day (1991)
186,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),Braveheart (1995),Saving Private Ryan (1998),Back to the Future (1985),Schindler's List (1993),"Fugitive, The (1993)",Fight Club (1999),"Godfather, The (1972)",American Beauty (1999),Seven (a.k.a. Se7en) (1995),Apollo 13 (1995),"Usual Suspects, The (1995)","Sixth Sense, The (1999)",Fargo (1996),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)",Die Hard (1988)
187,"Godfather, The (1972)",Terminator 2: Judgment Day (1991),Saving Private Ryan (1998),Jurassic Park (1993),"Sixth Sense, The (1999)",Toy Story (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Shrek (2001),Back to the Future (1985),Goodfellas (1990),"Dark Knight, The (2008)",One Flew Over the Cuckoo's Nest (1975),Indiana Jones and the Last Crusade (1989),"Godfather: Part II, The (1974)","Fugitive, The (1993)","Princess Bride, The (1987)","Amelie (Fabuleux destin d'Am¨¦lie Poulain, Le) (2001)",Apollo 13 (1995),L¨¦on: The Professional (a.k.a. The Professional) (L¨¦on) (1994),Pirates of the Caribbean: The Curse of the Black Pearl (2003)
188,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Schindler's List (1993),Star Wars: Episode V - The Empire Strikes Back (1980),Jurassic Park (1993),"Godfather, The (1972)",Toy Story (1995),Fargo (1996),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Usual Suspects, The (1995)",Back to the Future (1985),"Sixth Sense, The (1999)",Star Wars: Episode VI - Return of the Jedi (1983),"Princess Bride, The (1987)",Braveheart (1995),Apollo 13 (1995),Saving Private Ryan (1998)
189,Pulp Fiction (1994),Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),Star Wars: Episode V - The Empire Strikes Back (1980),"Usual Suspects, The (1995)",Saving Private Ryan (1998),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Godfather, The (1972)",Seven (a.k.a. Se7en) (1995),American Beauty (1999),Terminator 2: Judgment Day (1991),Memento (2000),Star Wars: Episode VI - Return of the Jedi (1983),Jurassic Park (1993),Shrek (2001),Toy Story (1995),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Good Will Hunting (1997),American History X (1998),Apollo 13 (1995)
190,Forrest Gump (1994),Pulp Fiction (1994),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)","Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),American Beauty (1999),Memento (2000),Star Wars: Episode V - The Empire Strikes Back (1980),"Usual Suspects, The (1995)",Saving Private Ryan (1998),"Dark Knight, The (2008)","Sixth Sense, The (1999)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Seven (a.k.a. Se7en) (1995),Gladiator (2000),Star Wars: Episode VI - Return of the Jedi (1983),Braveheart (1995),American History X (1998)
191,Forrest Gump (1994),"Silence of the Lambs, The (1991)","Fugitive, The (1993)",Schindler's List (1993),Jurassic Park (1993),Terminator 2: Judgment Day (1991),Dances with Wolves (1990),Batman (1989),Star Wars: Episode IV - A New Hope (1977),Aladdin (1992),"Lion King, The (1994)","Matrix, The (1999)",Speed (1994),Independence Day (a.k.a. ID4) (1996),Die Hard: With a Vengeance (1995),"Godfather, The (1972)",Mission: Impossible (1996),Fight Club (1999),Beauty and the Beast (1991),Star Wars: Episode V - The Empire Strikes Back (1980)
192,"Shawshank Redemption, The (1994)","Fugitive, The (1993)",Terminator 2: Judgment Day (1991),Batman (1989),Aladdin (1992),Die Hard: With a Vengeance (1995),Schindler's List (1993),Speed (1994),"Lion King, The (1994)",Crimson Tide (1995),"Usual Suspects, The (1995)",Ace Ventura: Pet Detective (1994),Beauty and the Beast (1991),Batman Forever (1995),Toy Story (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Mask, The (1994)","Matrix, The (1999)",Interview with the Vampire: The Vampire Chronicles (1994),Cliffhanger (1993)
